,date,wti,open,high,low,volume,wti_cr
629,2022-05-24,109.77,110.41,111.43,108.61,224.79K,-0.47%
630,2022-05-25,110.33,110.39,111.68,109.23,191.37K,+0.51%
631,2022-05-26,114.09,110.69,114.83,110.27,234.75K,+3.41%
632,2022-05-27,115.07,114.2,115.3,112.85,217.28K,+0.86%
633,2022-05-29,115.61,115.3,115.81,115.2,,+0.47%
634,2022-05-30,117.61,115.58,117.79,115.39,,+1.73%
635,2022-05-31,114.67,114.96,119.98,114.15,440.80K,-2.50%
636,2022-06-01,115.26,115.4,117.87,114.58,290.53K,+0.51%
637,2022-06-02,116.87,114.8,117.77,111.2,327.60K,+1.40%
638,2022-06-03,118.87,117.55,120.46,115.23,240.83K,+1.71%
639,2022-06-06,118.5,120.82,120.99,117.63,246.83K,-0.31%
640,2022-06-07,119.41,119.1,120.36,117.14,341.69K,+0.77%
641,2022-06-08,122.11,119.79,123.18,119.3,340.59K,+2.26%
642,2022-06-09,121.51,122.43,122.72,120.79,293.30K,-0.49%
643,2022-06-10,120.67,121.46,122.75,118.33,352.91K,-0.69%
644,2022-06-13,120.93,120.19,122.25,117.47,372.40K,+0.22%
645,2022-06-14,118.93,121.09,123.68,116.62,366.32K,-1.65%
646,2022-06-15,115.31,119.07,119.61,114.6,301.75K,-3.04%
647,2022-06-16,117.59,115.98,118.08,112.31,162.54K,+1.98%
648,2022-06-17,109.56,117.08,118.97,108.25,103.15K,-6.83%
649,2022-06-19,108.94,108.97,109.34,108.78,,-0.57%
650,2022-06-20,108.84,108.97,109.17,106.84,,-0.09%
651,2022-06-21,110.65,110.58,112.47,108.72,28.46K,+1.66%
652,2022-06-22,106.19,109.54,109.76,101.53,432.72K,-4.03%
653,2022-06-23,104.27,104.42,107.05,102.32,346.36K,-1.81%
654,2022-06-24,107.62,103.99,108.58,103.64,321.59K,+3.21%
655,2022-06-27,109.57,107.22,110.54,105.6,282.91K,+1.81%
656,2022-06-28,111.76,110.18,112.22,109.62,306.75K,+2.00%
657,2022-06-29,109.78,111.86,114.05,109.22,322.06K,-1.77%
658,2022-06-30,105.76,109.7,110.45,105.1,362.89K,-3.66%
659,2022-07-01,108.43,106.01,109.34,104.56,305.34K,+2.52%
660,2022-07-03,108.19,108.67,108.81,108.14,,-0.22%
661,2022-07-04,110.4,108.17,110.77,107.25,,+2.04%
662,2022-07-05,99.5,108.8,111.45,97.43,594.22K,-9.87%
663,2022-07-06,98.53,100.36,102.14,95.1,444.11K,-0.97%
664,2022-07-07,102.73,98.22,104.48,96.57,379.86K,+4.26%
665,2022-07-08,104.79,102.22,105.24,101.51,327.46K,+2.01%
666,2022-07-11,104.09,104.79,105.05,100.89,348.57K,-0.67%
667,2022-07-12,95.84,103.46,103.49,95.35,398.55K,-7.93%
668,2022-07-13,96.3,95.89,97.96,93.67,347.19K,+0.48%
669,2022-07-14,95.78,96.57,97.0,90.56,387.53K,-0.54%
670,2022-07-15,97.59,96.39,99.03,94.57,240.77K,+1.89%
671,2022-07-18,102.6,97.27,102.8,95.85,84.67K,+5.13%
