,date,kospi,open,high,low,volume,kospi_cr
240,2022-12-20,2333.2900390625,2344.72998046875,2353.860107421875,2324.659912109375,358100,-0.80%
241,2022-12-21,2328.949951171875,2346.389892578125,2347.0,2325.780029296875,329400,-0.19%
242,2022-12-22,2356.72998046875,2340.0,2356.72998046875,2335.75,552800,1.19%
243,2022-12-23,2313.68994140625,2325.860107421875,2333.080078125,2311.89990234375,367000,-1.83%
244,2022-12-26,2317.139892578125,2312.5400390625,2321.919921875,2304.199951171875,427600,0.15%
245,2022-12-27,2332.7900390625,2327.52001953125,2335.989990234375,2321.47998046875,448300,0.68%
246,2022-12-28,2280.449951171875,2296.449951171875,2296.449951171875,2276.89990234375,405700,-2.24%
247,2022-12-29,2236.39990234375,2265.72998046875,2272.669921875,2236.3798828125,361000,-1.93%
248,2023-01-02,2225.669921875,2249.949951171875,2259.8798828125,2222.3701171875,346100,-0.48%
249,2023-01-03,2218.679931640625,2230.97998046875,2230.97998046875,2180.669921875,410000,-0.31%
250,2023-01-04,2255.97998046875,2205.97998046875,2260.06005859375,2198.820068359375,412700,1.68%
251,2023-01-05,2264.64990234375,2268.199951171875,2281.389892578125,2252.969970703125,430800,0.38%
252,2023-01-06,2289.969970703125,2253.39990234375,2300.6201171875,2253.27001953125,398300,1.12%
253,2023-01-09,2350.18994140625,2315.8701171875,2351.06005859375,2312.56005859375,341100,2.63%
254,2023-01-10,2351.31005859375,2348.0400390625,2370.179931640625,2344.179931640625,359600,0.05%
255,2023-01-11,2359.530029296875,2364.050048828125,2369.659912109375,2350.360107421875,368800,0.35%
256,2023-01-12,2365.10009765625,2376.719970703125,2377.800048828125,2358.330078125,580100,0.24%
257,2023-01-13,2386.090087890625,2377.340087890625,2397.010009765625,2375.780029296875,861700,0.89%
258,2023-01-16,2399.860107421875,2390.06005859375,2410.219970703125,2387.610107421875,517800,0.58%
259,2023-01-17,2379.389892578125,2400.919921875,2404.0,2374.64990234375,536000,-0.85%
260,2023-01-18,2368.320068359375,2380.360107421875,2383.0,2356.840087890625,536200,-0.47%
261,2023-01-19,2380.340087890625,2354.56005859375,2380.340087890625,2354.56005859375,369900,0.51%
262,2023-01-20,2395.260009765625,2380.0,2395.969970703125,2372.570068359375,302300,0.63%
263,2023-01-25,2428.570068359375,2426.580078125,2432.7099609375,2421.510009765625,549800,1.39%
264,2023-01-26,2468.64990234375,2436.179931640625,2468.64990234375,2426.39990234375,486600,1.65%
