,date,ixut,open,high,low,volume,ixut_cr
244,2023-02-24,390.3900146484375,391.0299987792969,391.4599914550781,388.989990234375,121100,-1.53%
245,2023-02-27,391.8599853515625,393.3900146484375,396.1600036621094,391.04998779296875,112300,0.38%
246,2023-02-28,388.760009765625,390.010009765625,392.3900146484375,388.6099853515625,138600,-0.79%
247,2023-03-01,385.82000732421875,387.17999267578125,388.9800109863281,383.45001220703125,102100,-0.76%
248,2023-03-02,386.9599914550781,383.8299865722656,387.4800109863281,383.70001220703125,106200,0.30%
249,2023-03-03,391.2300109863281,389.8299865722656,392.0199890136719,388.8500061035156,98700,1.10%
250,2023-03-06,391.67999267578125,392.82000732421875,394.7300109863281,390.9800109863281,110100,0.12%
251,2023-03-07,385.7099914550781,392.1600036621094,392.8800048828125,383.9800109863281,131800,-1.52%
252,2023-03-08,385.67999267578125,387.4100036621094,387.9700012207031,383.5400085449219,113200,-0.01%
253,2023-03-09,380.4599914550781,386.760009765625,387.8599853515625,379.79998779296875,113100,-1.35%
254,2023-03-10,375.7900085449219,380.4200134277344,380.510009765625,373.6700134277344,128200,-1.23%
255,2023-03-13,375.95001220703125,374.57000732421875,380.4200134277344,372.7200012207031,146100,0.04%
256,2023-03-14,380.2200012207031,380.2099914550781,382.3900146484375,377.29998779296875,129300,1.14%
257,2023-03-15,382.4100036621094,376.7099914550781,383.04998779296875,375.9599914550781,130900,0.58%
258,2023-03-16,384.5799865722656,379.1300048828125,385.5799865722656,377.8299865722656,121300,0.57%
259,2023-03-17,384.42999267578125,382.7900085449219,385.94000244140625,381.5400085449219,235500,-0.04%
260,2023-03-20,389.3800048828125,385.5,390.4100036621094,385.20001220703125,113700,1.29%
261,2023-03-21,390.69000244140625,392.6000061035156,393.1000061035156,388.6700134277344,110700,0.34%
262,2023-03-22,382.69000244140625,391.5799865722656,391.6600036621094,382.57000732421875,108400,-2.05%
263,2023-03-23,382.17999267578125,383.42999267578125,386.760009765625,379.1000061035156,106500,-0.13%
264,2023-03-24,383.92999267578125,380.9700012207031,384.739990234375,378.260009765625,110300,0.46%
265,2023-03-27,386.67999267578125,386.6000061035156,388.29998779296875,386.0899963378906,124700,0.72%
266,2023-03-28,385.010009765625,386.1499938964844,387.7799987792969,384.5400085449219,91900,-0.43%
267,2023-03-29,390.20001220703125,388.8900146484375,390.6300048828125,387.8699951171875,95900,1.35%
268,2023-03-30,392.1499938964844,393.2099914550781,393.94000244140625,390.30999755859375,101500,0.50%
269,2023-03-31,398.1600036621094,393.489990234375,398.3900146484375,393.1300048828125,128600,1.53%
270,2023-04-03,399.260009765625,397.8699951171875,399.6099853515625,397.3900146484375,105900,0.28%
271,2023-04-04,395.9800109863281,397.3800048828125,397.54998779296875,392.67999267578125,109900,-0.82%
272,2023-04-05,398.239990234375,396.55999755859375,399.7799987792969,396.0,100400,0.57%
273,2023-04-06,396.7900085449219,396.4700012207031,398.2900085449219,394.5899963378906,101000,-0.36%
274,2023-04-10,399.0199890136719,395.29998779296875,399.07000732421875,394.3900146484375,86900,0.56%
275,2023-04-11,397.9800109863281,398.79998779296875,399.79998779296875,397.5199890136719,100600,-0.26%
276,2023-04-12,392.57000732421875,399.7900085449219,400.17999267578125,392.0799865722656,109900,-1.36%
277,2023-04-13,396.8699951171875,394.260009765625,397.1600036621094,393.3299865722656,118100,1.10%
278,2023-04-14,394.1499938964844,395.79998779296875,396.8500061035156,391.44000244140625,100000,-0.69%
279,2023-04-17,395.17999267578125,394.82000732421875,395.55999755859375,392.989990234375,102700,0.26%
280,2023-04-18,394.4100036621094,398.3500061035156,399.010009765625,393.3599853515625,127300,-0.19%
281,2023-04-19,387.25,390.1000061035156,390.45001220703125,387.05999755859375,138700,-1.82%
282,2023-04-20,379.7799987792969,383.8999938964844,384.6700134277344,379.0799865722656,135600,-1.93%
283,2023-04-21,380.8800048828125,379.0799865722656,381.2799987792969,378.25,109700,0.29%
284,2023-04-24,380.010009765625,380.6400146484375,381.510009765625,378.3500061035156,90800,-0.23%
285,2023-04-25,378.2200012207031,379.1499938964844,380.3900146484375,377.7900085449219,126700,-0.47%
286,2023-04-26,375.82000732421875,375.3699951171875,378.3599853515625,375.1300048828125,126400,-0.63%
