,date,kosdaq,open,high,low,volume,kosdaq_cr
369,2023-06-20,886.41,886.47,891.0,883.09,1.30B,-0.25
370,2023-06-21,875.7,887.26,890.94,875.33,1.22B,-1.21
371,2023-06-22,876.38,870.79,880.12,869.79,1.34B,0.08
372,2023-06-23,874.84,880.37,880.46,872.28,1.29B,-0.18
373,2023-06-26,879.5,874.31,881.24,869.29,1.29B,0.53
374,2023-06-27,874.14,877.88,878.43,867.68,1.22B,-0.61
375,2023-06-28,866.97,879.61,880.23,866.7,1.16B,-0.82
376,2023-06-29,861.79,868.65,870.75,859.77,1.17B,-0.6
377,2023-06-30,868.24,862.7,869.24,853.68,1.00B,0.75
378,2023-07-03,889.29,873.91,889.29,873.66,884.08M,2.42
379,2023-07-04,890.0,890.94,894.7,883.41,972.95M,0.08
380,2023-07-05,891.18,890.49,895.63,889.23,918.62M,0.13
381,2023-07-06,870.53,889.3,889.77,869.46,1.13B,-2.32
382,2023-07-07,867.27,868.08,872.29,861.2,1.04B,-0.37
383,2023-07-10,860.35,868.0,870.18,857.35,1.01B,-0.8
384,2023-07-11,878.73,866.55,878.76,865.65,935.39M,2.14
385,2023-07-12,879.88,878.97,880.53,873.91,1.04B,0.13
386,2023-07-13,893.07,885.21,895.23,884.33,1.12B,1.5
387,2023-07-14,896.28,898.17,899.68,890.21,1.06B,0.36
388,2023-07-17,898.29,894.75,899.44,891.18,1.12B,0.22
389,2023-07-18,914.14,901.43,914.18,901.12,1.14B,1.76
390,2023-07-19,923.72,917.51,923.9,910.25,1.02B,1.05
391,2023-07-20,931.6,918.27,931.79,913.98,978.78M,0.85
392,2023-07-21,934.58,918.51,937.29,918.19,992.32M,0.32
393,2023-07-24,929.9,934.99,935.55,920.89,966.47M,-0.5
394,2023-07-25,939.96,932.17,945.47,924.31,932.87M,1.08
395,2023-07-26,900.63,945.57,956.4,886.14,1.24B,-4.18
396,2023-07-27,883.79,897.44,912.57,878.8,892.73M,-1.87
397,2023-07-28,913.74,880.23,914.6,877.96,677.66M,3.39
398,2023-07-31,935.97,923.01,938.43,921.39,691.58M,2.43
399,2023-08-01,939.67,944.71,952.12,926.75,924.07M,0.4
400,2023-08-02,909.76,931.17,940.06,907.87,951.13M,-3.18
401,2023-08-03,920.32,911.28,920.41,897.89,1.15B,1.16
402,2023-08-04,918.43,921.16,922.89,914.3,1.06B,-0.21
403,2023-08-07,898.22,913.25,913.25,894.48,1.10B,-2.2
404,2023-08-08,892.34,901.76,903.78,889.25,1.15B,-0.65
405,2023-08-09,908.98,891.08,912.94,889.94,1.01B,1.86
406,2023-08-10,911.29,904.68,912.65,899.01,1.26B,0.25
407,2023-08-11,912.2,913.97,918.18,908.27,1.39B,0.1
408,2023-08-14,901.68,907.43,908.13,894.08,1.18B,-1.15
409,2023-08-16,878.29,893.93,895.42,877.85,1.22B,-2.59
410,2023-08-17,886.04,875.15,887.67,863.32,1.11B,0.88
411,2023-08-18,877.32,878.52,882.08,874.27,1.12B,-0.98
412,2023-08-21,888.71,881.09,894.58,879.8,1.06B,1.3
413,2023-08-22,893.33,898.4,899.21,889.71,1.23B,0.52
414,2023-08-23,882.87,892.65,892.65,881.4,1.44B,-1.17
415,2023-08-24,901.74,893.46,902.64,892.12,1.28B,2.14
416,2023-08-25,899.38,891.21,902.81,890.08,1.16B,-0.26
417,2023-08-28,909.38,907.53,909.48,901.84,1.07B,1.11
418,2023-08-29,916.24,911.94,918.39,907.82,1.31B,0.75
419,2023-08-30,923.81,925.08,926.44,921.05,1.28B,0.83
420,2023-08-31,928.4,925.57,930.42,923.4,1.28B,0.5
421,2023-09-01,919.74,926.37,928.0,919.74,1.07B,-0.93
422,2023-09-04,919.16,918.12,921.63,913.04,1.11B,-0.06
423,2023-09-05,921.48,918.85,922.65,913.02,1.08B,0.25
424,2023-09-06,917.95,923.61,927.28,916.08,1.09B,-0.38
425,2023-09-07,906.36,914.63,921.79,902.95,1.28B,-1.26
426,2023-09-08,914.18,908.08,914.18,902.77,1.25B,0.86
427,2023-09-11,912.55,918.43,918.43,907.9,975.19M,-0.18
428,2023-09-12,898.04,918.1,918.96,895.96,1.18B,-1.59
429,2023-09-13,882.72,895.94,899.8,882.27,1.08B,-1.71
430,2023-09-14,899.47,888.19,899.47,886.46,1.02B,1.9
431,2023-09-15,899.03,900.62,902.4,897.11,941.82M,-0.05
432,2023-09-18,891.29,892.18,896.37,889.99,906.67M,-0.86
433,2023-09-19,883.89,891.57,894.26,882.42,1.05B,-0.83
434,2023-09-20,882.72,883.74,886.65,874.92,1.02B,-0.13
435,2023-09-21,860.68,875.52,879.82,859.51,1.05B,-2.5
436,2023-09-22,857.35,851.93,860.68,847.56,1.03B,-0.39
