,date,dji_f,open,high,low,volume,dji_f_cr
243,2022-12-12,34017.0,33487.0,34026.0,33433.0,83037,1.55%
244,2022-12-13,34133.0,33997.0,34984.0,33911.0,83531,0.34%
245,2022-12-14,33993.0,34124.0,34420.0,33718.0,45583,-0.41%
246,2022-12-15,33212.0,34032.0,34088.0,33021.0,36185,-2.30%
247,2022-12-16,32966.4609375,33200.0,33270.0,32779.0,175316,-0.74%
248,2022-12-19,32973.0,33105.0,33279.0,32792.0,138092,0.02%
249,2022-12-20,33053.0,32950.0,33204.0,32686.0,156315,0.24%
250,2022-12-21,33569.0,33148.0,33645.0,33141.0,150659,1.56%
251,2022-12-22,33208.0,33639.0,33663.0,32750.0,165174,-1.08%
252,2022-12-23,33375.0,33215.0,33411.0,32989.0,158608,0.50%
253,2022-12-27,33416.0,33399.0,33613.0,33236.0,125976,0.12%
254,2022-12-28,33046.0,33427.0,33567.0,33026.0,137870,-1.11%
255,2022-12-29,33375.0,33067.0,33458.0,32999.0,105021,1.00%
256,2022-12-30,33285.0,33351.0,33370.0,32989.0,119354,-0.27%
257,2023-01-03,33278.0,33485.0,33643.0,32983.0,196899,-0.02%
258,2023-01-04,33416.0,33238.0,33564.0,33171.0,187173,0.41%
259,2023-01-05,33070.0,33380.0,33467.0,32943.0,173179,-1.04%
260,2023-01-06,33772.0,33082.0,33863.0,33032.0,238427,2.12%
261,2023-01-09,33670.0,33790.0,34080.0,33630.0,153569,-0.30%
262,2023-01-10,33849.0,33674.0,33870.0,33489.0,141916,0.53%
263,2023-01-11,34110.0,33849.0,34125.0,33826.0,122663,0.77%
264,2023-01-12,34319.0,34119.0,34422.0,33850.0,206584,0.61%
265,2023-01-13,34416.0,34308.0,34464.0,34006.0,152638,0.28%
266,2023-01-16,34378.0,34436.0,34489.0,34302.0,152638,-0.11%
267,2023-01-17,34020.0,34436.0,34489.0,33970.0,189736,-1.04%
268,2023-01-18,33386.0,34006.0,34131.0,33365.0,200014,-1.86%
269,2023-01-19,33139.0,33368.0,33391.0,33067.0,176088,-0.74%
270,2023-01-20,33474.0,33187.0,33482.0,33031.0,165276,1.01%
271,2023-01-23,33727.0,33471.0,33885.0,33402.0,176738,0.76%
272,2023-01-24,33826.0,33732.0,33906.0,33474.0,160727,0.29%
273,2023-01-25,33823.0,33838.0,33866.0,33347.0,182792,-0.01%
274,2023-01-26,34023.0,33813.0,34044.0,33701.0,163835,0.59%
275,2023-01-27,34046.0,33998.0,34241.0,33899.0,141444,0.07%
276,2023-01-30,33785.0,34014.0,34123.0,33762.0,150805,-0.77%
277,2023-01-31,34156.0,33819.0,34166.0,33579.0,147863,1.10%
278,2023-02-01,34148.0,34132.0,34407.0,33624.0,207744,-0.02%
279,2023-02-02,34097.0,34126.0,34214.0,33857.0,194089,-0.15%
280,2023-02-03,33962.0,34048.0,34226.0,33821.0,226635,-0.40%
281,2023-02-06,33934.0,33886.0,34010.0,33685.0,164848,-0.08%
282,2023-02-07,34206.0,33920.0,34283.0,33661.0,273425,0.80%
283,2023-02-08,33995.0,34145.0,34212.0,33919.0,176347,-0.62%
284,2023-02-09,33734.0,34043.0,34287.0,33630.0,194883,-0.77%
285,2023-02-10,33895.0,33760.0,33924.0,33543.0,186965,0.48%
286,2023-02-13,34268.0,33905.0,34289.0,33759.0,145496,1.10%
287,2023-02-14,34121.0,34276.0,34551.0,33852.0,242934,-0.43%
288,2023-02-15,34174.0,34086.0,34193.0,33871.0,158055,0.16%
289,2023-02-16,33739.0,34169.0,34233.0,33709.0,193140,-1.27%
290,2023-02-17,33866.0,33719.0,33889.0,33514.0,183815,0.38%
291,2023-02-21,33162.0,33844.0,33875.0,33141.0,192787,-2.08%
292,2023-02-22,33079.0,33186.0,33273.0,32976.0,161678,-0.25%
293,2023-02-23,33182.0,33097.0,33294.0,32816.0,173203,0.31%
294,2023-02-24,32826.0,33139.0,33197.0,32648.0,179166,-1.07%
295,2023-02-27,32909.0,32816.0,33211.0,32783.0,156501,0.25%
